User-ID,Location,Age
17,"chesapeake, virginia, usa",
42,"appleton, wisconsin, usa",17.0
67,"framingham, massachusetts, usa",43.0
88,"fayetteville, georgia, usa",
125,"lansing, michigan, usa",49.0
182,"buitenpost, frysl̢n, netherlands",36.0
183,"porto, porto, portugal",27.0
254,"minneapolis, minnesota, usa",24.0
280,"yakima, washington, usa",
300,"newport news, virginia, usa",
383,"carmichael, california, usa",
441,"spokane, washington, usa",
444,"sweet home, oregon, usa",40.0
446,"chevy chase, dc, usa",
507,"dumas, arkansas, usa",
614,"montecassiano, marche, italy",28.0
625,"marseille, provence, france",41.0
638,"san diego, california, usa",20.0
643,"grenoble, rhone-alpes, france",23.0
651,"interlachen, florida, usa",26.0
657,"chattanooga, tennessee, usa",
741,"novinger, missouri, usa",16.0
746,"longmont, colorado, usa",36.0
774,"wentzville, missouri, usa",16.0
776,"auckland, n/a, new zealand",23.0
782,"hallandale, florida, usa",57.0
805,"sonoma, california, usa",34.0
822,"chesterfield, england, united kingdom",25.0
850,"bremen, bremen, germany",22.0
853,"chesterfield, michigan, usa",24.0
882,"berkeley, california, usa",23.0
896,"-, wales, united kingdom",27.0
899,"bielefeld, nordrhein-westfalen, germany",23.0
901,"worcester, worcestershire, united kingdom",21.0
929,"king of prussia, ,",36.0
941,"bend, oregon, usa",
1009,"delano, minnesota, usa",56.0
1025,"maidstone, england, united kingdom",33.0
1032,"lockhart, texas, usa",
1113,"richmond, missouri, usa",22.0
1155,"smyrna, georgia, usa",22.0
1167,"milwaukee, wisconsin, usa",25.0
1211,"rennes, bretagne, france",22.0
1248,"dixon, california, usa",
1252,"la, california, usa",
1264,"antelope, california, usa",
1376,"peoria, illinois, usa",
1409,"farmington hills, michigan, usa",74.0
1424,"north avoca, new south wales, australia",
1435,"st. louis, missouri, usa",36.0
1436,"sault ste. marie, ontario, canada",
1439,"tilley, alberta, canada",
1448,"la mesa, california, usa",61.0
1455,"chehalis, washington, usa",
1485,"allendale, new jersey, usa",30.0
1486,"montmorency, victoria, australia",75.0
1548,"brooklyn, new york, usa",28.0
1557,"bloomington, indiana, usa",32.0
1583,"san francisco, california, usa",48.0
1596,"jackson, tennessee, usa",51.0
1597,"west columbia, texas, usa",23.0
1639,"jacksonville, florida, usa",
1653,"madrid, delaware, spain",17.0
1654,"silver spring, maryland, usa",
1674,"minneapolis, minnesota, usa",26.0
1733,"independence, west virginia, usa",30.0
1765,"london, england, united kingdom",37.0
1830,"kidderminster, worcestershire, england, united kingdom",54.0
1903,"hualien, taiwan, taiwan",36.0
